sepal_length_tenths,petal_length_tenths,label
51,14,Iris-setosa
49,14,Iris-setosa
47,13,Iris-setosa
46,15,Iris-setosa
50,14,Iris-setosa
54,17,Iris-setosa
46,14,Iris-setosa
50,15,Iris-setosa
44,14,Iris-setosa
49,15,Iris-setosa
54,15,Iris-setosa
48,16,Iris-setosa
48,14,Iris-setosa
43,11,Iris-setosa
58,12,Iris-setosa
57,15,Iris-setosa
54,13,Iris-setosa
51,14,Iris-setosa
57,17,Iris-setosa
51,15,Iris-setosa
54,17,Iris-setosa
51,15,Iris-setosa
46,10,Iris-setosa
51,17,Iris-setosa
48,19,Iris-setosa
50,16,Iris-setosa
50,16,Iris-setosa
52,15,Iris-setosa
52,14,Iris-setosa
47,16,Iris-setosa
48,16,Iris-setosa
54,15,Iris-setosa
52,15,Iris-setosa
55,14,Iris-setosa
49,15,Iris-setosa
50,12,Iris-setosa
55,13,Iris-setosa
49,15,Iris-setosa
44,13,Iris-setosa
51,15,Iris-setosa
50,13,Iris-setosa
45,13,Iris-setosa
44,13,Iris-setosa
50,16,Iris-setosa
51,19,Iris-setosa
48,14,Iris-setosa
51,16,Iris-setosa
46,14,Iris-setosa
53,15,Iris-setosa
50,14,Iris-setosa
70,47,Iris-versicolor
64,45,Iris-versicolor
69,49,Iris-versicolor
55,40,Iris-versicolor
65,46,Iris-versicolor
57,45,Iris-versicolor
63,47,Iris-versicolor
49,33,Iris-versicolor
66,46,Iris-versicolor
52,39,Iris-versicolor
50,35,Iris-versicolor
59,42,Iris-versicolor
60,40,Iris-versicolor
61,47,Iris-versicolor
56,36,Iris-versicolor
67,44,Iris-versicolor
56,45,Iris-versicolor
58,41,Iris-versicolor
62,45,Iris-versicolor
56,39,Iris-versicolor
59,48,Iris-versicolor
61,40,Iris-versicolor
63,49,Iris-versicolor
61,47,Iris-versicolor
64,43,Iris-versicolor
66,44,Iris-versicolor
68,48,Iris-versicolor
67,50,Iris-versicolor
60,45,Iris-versicolor
57,35,Iris-versicolor
55,38,Iris-versicolor
55,37,Iris-versicolor
58,39,Iris-versicolor
60,51,Iris-versicolor
54,45,Iris-versicolor
60,45,Iris-versicolor
67,47,Iris-versicolor
63,44,Iris-versicolor
56,41,Iris-versicolor
55,40,Iris-versicolor
55,44,Iris-versicolor
61,46,Iris-versicolor
58,40,Iris-versicolor
50,33,Iris-versicolor
56,42,Iris-versicolor
57,42,Iris-versicolor
57,42,Iris-versicolor
62,43,Iris-versicolor
51,30,Iris-versicolor
57,41,Iris-versicolor
63,60,Iris-virginica
58,51,Iris-virginica
71,59,Iris-virginica
63,56,Iris-virginica
65,58,Iris-virginica
76,66,Iris-virginica
49,45,Iris-virginica
73,63,Iris-virginica
67,58,Iris-virginica
72,61,Iris-virginica
65,51,Iris-virginica
64,53,Iris-virginica
68,55,Iris-virginica
57,50,Iris-virginica
58,51,Iris-virginica
64,53,Iris-virginica
65,55,Iris-virginica
77,67,Iris-virginica
77,69,Iris-virginica
60,50,Iris-virginica
69,57,Iris-virginica
56,49,Iris-virginica
77,67,Iris-virginica
63,49,Iris-virginica
67,57,Iris-virginica
72,60,Iris-virginica
62,48,Iris-virginica
61,49,Iris-virginica
64,56,Iris-virginica
72,58,Iris-virginica
74,61,Iris-virginica
79,64,Iris-virginica
64,56,Iris-virginica
63,51,Iris-virginica
61,56,Iris-virginica
77,61,Iris-virginica
63,56,Iris-virginica
64,55,Iris-virginica
60,48,Iris-virginica
69,54,Iris-virginica
67,56,Iris-virginica
69,51,Iris-virginica
58,51,Iris-virginica
68,59,Iris-virginica
67,57,Iris-virginica
67,52,Iris-virginica
63,50,Iris-virginica
65,52,Iris-virginica
62,54,Iris-virginica
59,51,Iris-virginica
